N,K,Initilization,Iteration,Repetitions
426400,2,0.43599581718444824,0.002001523971557617,256
426400,2,0.43799829483032227,0.002000570297241211,256
426400,2,0.4440004825592041,0.0020046234130859375,256
426400,2,0.4669959545135498,0.002000570297241211,256
426400,2,0.45800065994262695,0.0020024776458740234,256
426400,2,0.4429945945739746,0.0009999275207519531,256
426400,2,0.4230015277862549,0.002002239227294922,256
426400,2,0.44499993324279785,0.001998424530029297,256
426400,2,0.43200087547302246,0.001001596450805664,256
426400,2,0.45099806785583496,0.0019986629486083984,256
Means, ,0.4436986207962036,0.0018010616302490234,256.0
Stds, ,0.012082673550567519,0.00040015367457980254,0.0
Stabilished, ,0.027231713113927494,0.22217655845817746, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
426400,3,0.5129961967468262,0.32200193405151367,32640
426400,3,0.5660033226013184,0.35599851608276367,32640
426400,3,0.46599602699279785,0.30100226402282715,32640
426400,3,0.5339984893798828,0.2440013885498047,32640
426400,3,0.4620018005371094,0.25103259086608887,32640
426400,3,0.42596983909606934,0.26999664306640625,32640
426400,3,0.4609971046447754,0.2500016689300537,32640
426400,3,0.4330003261566162,0.24200177192687988,32640
426400,3,0.43300533294677734,0.243027925491333,32640
426400,3,0.42696452140808105,0.22099900245666504,32640
Means, ,0.4720932960510254,0.2700063705444336,32640.0
Stds, ,0.04669758291983002,0.04050827185212805,0.0
Stabilished, ,0.09891600518466755,0.15002709665867606, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
426400,4,0.43859362602233887,25.31796646118164,2763520
426400,4,0.38899850845336914,24.977999448776245,2763520
426400,4,0.5010361671447754,26.415966987609863,2763520
426400,4,0.6109976768493652,25.82200050354004,2763520
426400,4,0.4450342655181885,28.016967058181763,2763520
426400,4,0.4539978504180908,25.769002437591553,2763520
426400,4,0.5170345306396484,26.353965282440186,2763520
426400,4,0.5729982852935791,32.77400231361389,2763520
426400,4,0.6069965362548828,29.636051416397095,2763520
426400,4,0.8189997673034668,29.96500253677368,2763520
Means, ,0.5354687213897705,27.504892444610597,2763520.0
Stds, ,0.11823654035962113,2.411293932825047,0.0
Stabilished, ,0.2208094247834807,0.08766781901368693, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
426400,5,0.5639958381652832,3009.5485932826996,174792640
426400,5,0.9329988956451416,2279.8907845020294,174792640
426400,5,0.937999963760376,3684.3993344306946,174792640
426400,5,0.8949997425079346,3811.1023993492126,174792640
426400,5,0.9340007305145264,3151.0750308036804,174792640
426400,5,0.7380003929138184,3365.296051263809,174792640
426400,5,0.9440009593963623,3388.343672513962,174792640
426400,5,0.5820002555847168,2633.4306647777557,174792640
426400,5,0.6580009460449219,1784.830631017685,174792640
426400,5,0.46999645233154297,1798.7680299282074,174792640
Means, ,0.7655994176864624,2890.6685191869738,174792640.0
Stds, ,0.17571226360525966,699.0313211047076,0.0
Stabilished, ,0.2295094007989691,0.24182341090472606, 
 , , , , 
