N,K,Initilization,Iteration,Repetitions
607500,2,0.5399966239929199,0.0020012855529785156,256
607500,2,0.5639972686767578,0.001001119613647461,256
607500,2,0.5420000553131104,0.0020036697387695312,256
607500,2,0.5469961166381836,0.0019996166229248047,256
607500,2,0.6460027694702148,0.0009987354278564453,256
607500,2,0.9200015068054199,0.0019986629486083984,256
607500,2,0.6879997253417969,0.003000497817993164,256
607500,2,0.7380046844482422,0.001996755599975586,256
607500,2,0.5589969158172607,0.0010004043579101562,256
607500,2,0.5379998683929443,0.0009996891021728516,256
Means, ,0.628199553489685,0.0017000436782836914,256.0
Stds, ,0.11830029240803606,0.0006404210821439831,0.0
Stabilished, ,0.1883164223070059,0.3767086047992198, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
607500,3,0.6200027465820312,0.23699712753295898,32640
607500,3,0.5610024929046631,0.2709994316101074,32640
607500,3,0.5650322437286377,0.2299668788909912,32640
607500,3,0.5380146503448486,0.23101520538330078,32640
607500,3,0.6549699306488037,0.2350013256072998,32640
607500,3,0.6059970855712891,0.2460026741027832,32640
607500,3,0.7389957904815674,0.25300121307373047,32640
607500,3,0.5450012683868408,0.31799960136413574,32640
607500,3,0.5430002212524414,0.2219991683959961,32640
607500,3,0.5489993095397949,0.2479994297027588,32640
Means, ,0.5921015739440918,0.24909820556640624,32640.0
Stds, ,0.06133056775019951,0.026505862788891936,0.0
Stabilished, ,0.10358115980281206,0.10640728113083829, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
607500,4,0.553999662399292,22.572000980377197,2763520
607500,4,0.53900146484375,23.615001916885376,2763520
607500,4,0.5609960556030273,25.21508765220642,2763520
607500,4,0.5510022640228271,23.1724271774292,2763520
607500,4,0.5759971141815186,25.769486665725708,2763520
607500,4,0.5730025768280029,23.800997257232666,2763520
607500,4,0.5659990310668945,24.114001750946045,2763520
607500,4,0.5939981937408447,25.626005172729492,2763520
607500,4,0.5970308780670166,24.51196527481079,2763520
607500,4,0.5870006084442139,25.820032835006714,2763520
Means, ,0.5698027849197388,24.42170066833496,2763520.0
Stds, ,0.01820743527282642,1.0941941008062923,0.0
Stabilished, ,0.031953924681837206,0.04480417296347499, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
607500,2,0.5210249423980713,0.002004861831665039,256
607500,2,0.5109655857086182,0.0020012855529785156,256
607500,2,0.50099778175354,0.0020008087158203125,256
607500,2,0.5869979858398438,0.0009996891021728516,256
607500,2,0.5870342254638672,0.0020008087158203125,256
607500,2,0.5589666366577148,0.001001119613647461,256
607500,2,0.5130317211151123,0.002000093460083008,256
607500,2,0.48999738693237305,0.0010025501251220703,256
607500,2,0.48996806144714355,0.0009999275207519531,256
607500,2,0.4779989719390869,0.002001047134399414,256
Means, ,0.5236983299255371,0.0016012191772460938,256.0
Stds, ,0.037976851712435124,0.0004902245804275277,0.0
Stabilished, ,0.07251665614025335,0.30615707542964576, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
607500,3,0.5009934902191162,0.20096755027770996,32640
607500,3,0.4949967861175537,0.20400309562683105,32640
607500,3,0.4960300922393799,0.1999680995941162,32640
607500,3,0.49100160598754883,0.20200085639953613,32640
607500,3,0.4949986934661865,0.201033353805542,32640
607500,3,0.48600339889526367,0.19899964332580566,32640
607500,3,0.5009975433349609,0.1979687213897705,32640
607500,3,0.4920332431793213,0.1999974250793457,32640
607500,3,0.5019650459289551,0.20403289794921875,32640
607500,3,0.48096728324890137,0.2030346393585205,32640
Means, ,0.49399871826171876,0.20120062828063964,32640.0
Stds, ,0.006434940079624148,0.0019549481914596526,0.0
Stabilished, ,0.013026228291173296,0.00971641196235651, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
607500,4,0.49300217628479004,19.99021077156067,2763520
607500,4,0.491288423538208,20.236963510513306,2763520
607500,4,0.497037410736084,20.323965072631836,2763520
607500,4,0.5120351314544678,23.670207738876343,2763520
607500,4,0.7009990215301514,20.710000038146973,2763520
607500,4,0.5160019397735596,20.603434324264526,2763520
607500,4,0.5090014934539795,20.23824691772461,2763520
607500,4,0.5139980316162109,20.220999717712402,2763520
607500,4,0.5320003032684326,20.13599991798401,2763520
607500,4,0.5179998874664307,25.170001745224,2763520
Means, ,0.5283363819122314,21.130002975463867,2763520.0
Stds, ,0.05876277128498503,1.690674659233521,0.0
Stabilished, ,0.11122226917688748,0.08001298727675193, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
607500,5,0.4959688186645508,1457.3438122272491,174792640
607500,5,0.4999969005584717,1470.6605548858643,174792640
607500,5,0.5000014305114746,1471.816820383072,174792640
607500,5,0.5059640407562256,1462.5161924362183,174792640
607500,5,0.5039997100830078,3051.732228040695,174792640
607500,5,1.6589992046356201,1607.3212745189667,174792640
607500,5,0.5110349655151367,1576.7186877727509,174792640
607500,5,0.5120315551757812,1549.0365624427795,174792640
607500,5,0.5290014743804932,2480.4145798683167,174792640
607500,5,1.2950012683868408,3693.4149997234344,174792640
Means, ,0.7011999368667603,1982.0975712299346,174792640.0
Stds, ,0.39644261366916844,766.8547589618325,0.0
Stabilished, ,0.5653774235072402,0.3868905194641768, 
 , , , , 
